class_filename,class_filepath,start_time,end_time,mid_time,exposure_s,temp_c,gain_ev_ch,sat_alt,sat_lat,sat_lon,bore_lat,bore_lon,solarang_deg,phaseang_deg,program,version,dataset,scd_fltr,scd_used,v0_lat,v0_lon,v1_lat,v1_lon,v2_lat,v2_lon,v3_lat,v3_lon,xsm_mean_meancounts,xsm_std_meancounts,xsm_min_meancounts,xsm_max_meancounts,xsm_mean_totalcounts,xsm_std_totalcounts,xsm_points_used
ch2_cla_l1_20250801T025501069_20250801T025509069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025501069_20250801T025509069.fits,2025-08-01T02:55:01.069,2025-08-01T02:55:09.069,2025-08-01T02:55:05.069,8.0,-38.7,13.5,105.708,-75.7105,60.8532,-75.7049,60.8545,79.302,79.302,CLASS_add_scds.pro,2.1,477,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-75.0335,59.3471,-76.3016,58.8358,-76.365,62.5034,-75.0918,62.7157,1.7239990234375,0.0816824627864982,1.578125,1.837890625,3530.75,167.28568378674848,8
ch2_cla_l1_20250801T025517069_20250801T025525069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025517069_20250801T025525069.fits,2025-08-01T02:55:17.069,2025-08-01T02:55:25.069,2025-08-01T02:55:21.069,8.0,-38.7,13.5,105.463,-76.518,60.608,-76.5123,60.6093,79.9944,79.9944,CLASS_add_scds.pro,2.1,479,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-75.8396,59.0342,-77.1058,58.4605,-77.173,62.3434,-75.901,62.582,1.7462158203125,0.0449732137612055,1.68115234375,1.8203125,3576.25,92.10514178294903,8
ch2_cla_l1_20250801T025533069_20250801T025541069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025533069_20250801T025541069.fits,2025-08-01T02:55:33.069,2025-08-01T02:55:41.069,2025-08-01T02:55:37.069,8.0,-38.7,13.5,105.217,-77.3255,60.3324,-77.32,60.334,80.6875,80.6875,CLASS_add_scds.pro,2.1,481,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-76.6469,58.6818,-77.9095,58.0367,-77.9809,62.1635,-76.7119,62.4308,1.74432373046875,0.0369142262749992,1.68701171875,1.80322265625,3572.375,75.6003354111985,8
ch2_cla_l1_20250801T025549069_20250801T025557069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025549069_20250801T025557069.fits,2025-08-01T02:55:49.069,2025-08-01T02:55:57.069,2025-08-01T02:55:53.069,8.0,-38.7,13.5,104.969,-78.1328,60.0201,-78.1272,60.0223,81.3813,81.3813,CLASS_add_scds.pro,2.1,483,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-77.4531,58.2859,-78.7125,57.5534,-78.7888,61.9589,-77.522,62.2621,1.755126953125,0.0349473346815785,1.69970703125,1.80908203125,3594.5,71.57214142787282,8
ch2_cla_l1_20250801T025557069_20250801T025605069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025557069_20250801T025605069.fits,2025-08-01T02:55:57.069,2025-08-01T02:56:05.069,2025-08-01T02:56:01.069,8.0,-38.7,13.5,104.844,-78.5365,59.8479,-78.5308,59.85,81.7285,81.7285,CLASS_add_scds.pro,2.1,484,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-77.856,58.0686,-79.1137,57.2849,-79.1927,61.8451,-77.9271,62.1696,1.722412109375,0.060225375911397,1.6396484375,1.833984375,3527.5,123.34156986654116,8
ch2_cla_l1_20250801T025605069_20250801T025613069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025605069_20250801T025613069.fits,2025-08-01T02:56:05.069,2025-08-01T02:56:13.069,2025-08-01T02:56:09.069,8.0,-38.7,13.5,104.72,-78.94,59.6633,-78.9331,59.6674,82.0758,82.0758,CLASS_add_scds.pro,2.1,485,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-78.2587,57.8365,-79.5145,56.9972,-79.5964,61.7238,-78.3321,62.071,1.74224853515625,0.0600704664309136,1.63916015625,1.8251953125,3568.125,123.02431525051112,8
ch2_cla_l1_20250801T025613069_20250801T025621069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025613069_20250801T025621069.fits,2025-08-01T02:56:13.069,2025-08-01T02:56:21.069,2025-08-01T02:56:17.069,8.0,-38.7,13.5,104.595,-79.3435,59.4649,-79.338,59.4674,82.4233,82.4233,CLASS_add_scds.pro,2.1,486,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-78.661,57.5889,-79.9161,56.6848,-80.0012,61.5916,-78.7369,61.9662,1.7205810546875,0.0455586106039864,1.63916015625,1.7861328125,3523.75,93.30403451696424,8
ch2_cla_l1_20250801T025621069_20250801T025629069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025621069_20250801T025629069.fits,2025-08-01T02:56:21.069,2025-08-01T02:56:29.069,2025-08-01T02:56:25.069,8.0,-38.7,13.5,104.469,-79.747,59.2512,-79.7415,59.2539,82.7709,82.7709,CLASS_add_scds.pro,2.1,487,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-79.0643,57.3214,-80.3166,56.3481,-80.4051,61.4494,-79.1428,61.8524,1.76214599609375,0.0593792892283526,1.671875,1.85595703125,3608.875,121.60878433966614,8
ch2_cla_l1_20250801T025629069_20250801T025637069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025629069_20250801T025637069.fits,2025-08-01T02:56:29.069,2025-08-01T02:56:37.069,2025-08-01T02:56:33.069,8.0,-38.7,13.5,104.344,-80.1503,59.0202,-80.1448,59.0233,83.1186,83.1186,CLASS_add_scds.pro,2.1,488,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-79.4665,57.0351,-80.7168,55.9825,-80.8091,61.2949,-79.5479,61.7312,1.72857666015625,0.1006355110575016,1.58740234375,1.88671875,3540.125,206.1015266457633,8
ch2_cla_l1_20250801T025637069_20250801T025645069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025637069_20250801T025645069.fits,2025-08-01T02:56:37.069,2025-08-01T02:56:45.069,2025-08-01T02:56:41.069,8.0,-38.8,13.5,104.218,-80.5535,58.7698,-80.548,58.773,83.4665,83.4665,CLASS_add_scds.pro,2.1,489,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-79.8684,56.7261,-81.1168,55.5839,-81.2131,61.1265,-79.953,61.6004,1.75103759765625,0.0792325397096963,1.64794921875,1.86181640625,3586.125,162.2682413254582,8
