class_filename,class_filepath,start_time,end_time,mid_time,exposure_s,temp_c,gain_ev_ch,sat_alt,sat_lat,sat_lon,bore_lat,bore_lon,solarang_deg,phaseang_deg,program,version,dataset,scd_fltr,scd_used,v0_lat,v0_lon,v1_lat,v1_lon,v2_lat,v2_lon,v3_lat,v3_lon,xsm_mean_meancounts,xsm_std_meancounts,xsm_min_meancounts,xsm_max_meancounts,xsm_mean_totalcounts,xsm_std_totalcounts,xsm_points_used
ch2_cla_l1_20250801T025909069_20250801T025917069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025909069_20250801T025917069.fits,2025-08-01T02:59:09.069,2025-08-01T02:59:17.069,2025-08-01T02:59:13.069,8.0,-39.0,13.5,101.778,-88.0486,34.2562,-88.0438,34.3374,90.0968,90.0968,CLASS_add_scds.pro,2.1,508,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-87.295,33.3478,-88.2343,11.8584,-88.7904,36.5348,-87.621,50.8483,1.7269287109375,0.0490506578060519,1.6513671875,1.80810546875,3536.75,100.45574718679435,8
ch2_cla_l1_20250801T025925069_20250801T025933069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025925069_20250801T025933069.fits,2025-08-01T02:59:25.069,2025-08-01T02:59:33.069,2025-08-01T02:59:29.069,8.0,-39.0,13.5,101.517,-88.6833,16.0091,-88.6796,16.1918,90.7962,90.7962,CLASS_add_scds.pro,2.1,510,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-87.9466,21.4567,-89.3738,-1.3518,-88.7705,36.979,-88.399,43.7974,1.71484375,0.0396775999476358,1.6513671875,1.771484375,3512.0,81.2597246927582,8
ch2_cla_l1_20250801T025941069_20250801T025949069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025941069_20250801T025949069.fits,2025-08-01T02:59:41.069,2025-08-01T02:59:49.069,2025-08-01T02:59:45.069,8.0,-39.0,13.5,101.255,-89.0092,-22.0706,-89.0089,-21.7425,91.4958,91.4958,CLASS_add_scds.pro,2.1,512,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-88.5862,-31.4558,-89.2001,-69.5214,-89.3648,0.2705,-88.4377,0.5668,1.7279052734375,0.0360391352484042,1.671875,1.77978515625,3538.75,73.80814898873197,8
ch2_cla_l1_20250801T025949069_20250801T025957069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025949069_20250801T025957069.fits,2025-08-01T02:59:49.069,2025-08-01T02:59:57.069,2025-08-01T02:59:53.069,8.0,-39.0,13.5,101.124,-88.9504,-44.8353,-88.9523,-44.546,91.8457,91.8457,CLASS_add_scds.pro,2.1,513,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-88.2964,-59.7713,-89.2001,-69.5214,-89.3648,0.2705,-88.589,-30.7161,1.724853515625,0.0787559102234503,1.58056640625,1.8193359375,3532.5,161.2921041376262,8
ch2_cla_l1_20250801T025957069_20250801T030005069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025957069_20250801T030005069.fits,2025-08-01T02:59:57.069,2025-08-01T03:00:05.069,2025-08-01T03:00:01.069,8.0,-39.0,13.5,100.993,-88.754,-62.758,-88.7572,-62.5565,92.1956,92.1956,CLASS_add_scds.pro,2.1,514,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-88.038,-69.6142,-88.8781,-84.5484,-89.4112,-38.3734,-88.4953,-46.3596,1.71826171875,0.0582819316448672,1.61572265625,1.7998046875,3519.0,119.36139600868808,8
ch2_cla_l1_20250801T030005069_20250801T030013069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T030005069_20250801T030013069.fits,2025-08-01T03:00:05.069,2025-08-01T03:00:13.069,2025-08-01T03:00:09.069,8.0,-39.0,13.5,100.861,-88.4721,-74.9647,-88.4761,-74.8304,92.5455,92.5455,CLASS_add_scds.pro,2.1,515,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-88.1326,-97.3854,-88.5141,-92.5714,-89.2114,-68.5796,-87.7357,-77.0059,1.749755859375,0.0566766934112459,1.6875,1.84814453125,3583.5,116.07386810623164,8
ch2_cla_l1_20250801T030013069_20250801T030021069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T030013069_20250801T030021069.fits,2025-08-01T03:00:13.069,2025-08-01T03:00:21.069,2025-08-01T03:00:17.069,8.0,-39.0,13.5,100.73,-88.1432,-83.124,-88.1478,-83.0328,92.8954,92.8954,CLASS_add_scds.pro,2.1,516,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-87.7425,-100.553,-88.8914,-84.0841,-88.3062,-59.3417,-87.4051,-82.5874,1.72698974609375,0.066169090887993,1.63916015625,1.8251953125,3536.875,135.51429813860972,8
ch2_cla_l1_20250801T030021069_20250801T030029069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T030021069_20250801T030029069.fits,2025-08-01T03:00:21.069,2025-08-01T03:00:29.069,2025-08-01T03:00:25.069,8.0,-39.0,13.5,100.598,-87.7881,-88.7523,-87.7932,-88.687,93.2453,93.2453,CLASS_add_scds.pro,2.1,517,1,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-87.3473,-102.784,-88.5277,-92.3181,-88.0492,-69.3187,-87.0551,-86.8793,1.74932861328125,0.0875282932781562,1.583984375,1.86376953125,3582.625,179.2579446336639,8
ch2_cla_l1_20250801T030029069_20250801T030037069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T030029069_20250801T030037069.fits,2025-08-01T03:00:29.069,2025-08-01T03:00:37.069,2025-08-01T03:00:33.069,8.0,-39.0,13.5,100.466,-87.4177,-92.7977,-87.4228,-92.7508,93.5953,93.5953,CLASS_add_scds.pro,2.1,518,1,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-86.949,-104.436,-88.1455,-97.2317,-87.7472,-76.8087,-86.6922,-90.2467,1.722900390625,0.0761736635550092,1.62158203125,1.84521484375,3528.5,156.00366296065891,8
ch2_cla_l1_20250801T030037069_20250801T030045069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T030037069_20250801T030045069.fits,2025-08-01T03:00:37.069,2025-08-01T03:00:45.069,2025-08-01T03:00:41.069,8.0,-39.0,13.5,100.334,-87.0375,-95.8184,-87.0426,-95.7827,93.9452,93.9452,CLASS_add_scds.pro,2.1,519,1,"0,3,4,5,6,7,8,9,10,11,12,13,14,15,",-86.5488,-105.706,-87.7543,-100.453,-87.416,-82.4586,-86.32,-92.9408,1.78619384765625,0.104438207559536,1.607421875,1.919921875,3658.125,213.88944908192977,8
